#segundos nanosegundos Rango theta Radio
500 863000000 2.453037 1.571733 0.502980
500 889000000 3.159001 -1.248689 0.287414
500 889000000 6.293905 -0.320311 0.468697
500 889000000 2.513437 -0.002420 0.279877
500 889000000 6.301102 1.073166 0.520022
500 889000000 2.438200 1.567813 0.486557
500 914000000 3.170373 -1.247626 0.297998
500 914000000 6.342286 -0.321629 0.518263
500 914000000 2.515658 -0.001393 0.279196
500 914000000 6.278431 1.072878 0.499912
500 914000000 2.455675 1.572049 0.504594
500 938000000 3.164513 -1.248588 0.292194
500 938000000 6.288204 -0.320238 0.462635
500 938000000 2.503658 0.000976 0.268154
500 938000000 6.288839 1.072879 0.508478
500 938000000 2.458931 1.573285 0.508927
500 964000000 3.153399 -1.246871 0.282005
500 964000000 6.349980 -0.321999 0.524967
500 964000000 2.510787 -0.000753 0.275726
500 964000000 6.283409 1.072828 0.504002
500 964000000 2.460735 1.574698 0.512407
500 989000000 3.161539 -1.248445 0.290193
500 989000000 6.333155 -0.321386 0.508491
500 989000000 2.508193 -0.000098 0.272611
500 989000000 6.272273 1.072974 0.494447
500 989000000 2.450376 1.570869 0.499445
501 14000000 3.152107 -1.249203 0.280665
501 14000000 6.342057 -0.321636 0.517441
501 14000000 2.503317 0.001814 0.265945
501 14000000 6.281972 1.072631 0.502289
501 14000000 2.449025 1.570177 0.497478
501 39000000 3.167769 -1.248745 0.294597
501 39000000 6.352956 -0.323171 0.529317
501 39000000 2.502142 0.002929 0.263340
501 39000000 6.276324 1.072982 0.497508
501 39000000 2.448164 1.569533 0.495438
501 64000000 3.159110 -1.247644 0.287274
501 64000000 6.345404 -0.320959 0.518823
501 64000000 2.507550 0.001443 0.269867
501 64000000 6.286091 1.072937 0.507502
501 64000000 2.445436 1.568464 0.491712
501 90000000 3.148885 -1.246166 0.277708
501 90000000 6.400161 -0.323697 0.575315
501 90000000 2.500761 -0.000219 0.266048
501 90000000 6.274089 1.072655 0.496107
501 90000000 2.446550 1.569006 0.493500
501 113000000 3.170995 -1.250912 0.301693
501 113000000 6.387911 -0.322784 0.562215
501 113000000 2.509049 0.000466 0.272388
501 113000000 6.279504 1.072777 0.500313
501 113000000 2.455038 1.571654 0.503552
501 139000000 3.159856 -1.248644 0.289776
501 139000000 6.295327 -0.320276 0.469998
501 139000000 2.512588 -0.001272 0.277571
501 139000000 6.288612 1.072780 0.509553
501 139000000 2.442186 1.567816 0.489037
501 164000000 3.163002 -1.248903 0.291209
501 164000000 6.357686 -0.321613 0.531122
501 164000000 2.505333 0.000951 0.269098
501 164000000 6.273750 1.072558 0.497237
501 164000000 2.452599 1.571773 0.502352
501 189000000 3.162703 -1.248609 0.291597
501 189000000 6.325590 -0.320979 0.499840
501 189000000 2.508717 0.001028 0.272953
501 189000000 6.288140 1.073232 0.508354
501 189000000 2.465354 1.574255 0.514136
501 214000000 3.168309 -1.249648 0.296794
501 214000000 6.379307 -0.321916 0.553165
501 214000000 2.507081 0.000147 0.272032
501 214000000 6.265371 1.072904 0.487124
501 214000000 2.463517 1.574354 0.513248
501 240000000 3.167514 -1.250352 0.298167
501 240000000 6.321882 -0.321332 0.496564
501 240000000 2.504431 0.001310 0.267886
501 240000000 6.277965 1.072691 0.499674
501 240000000 2.446911 1.569536 0.494810
501 265000000 3.174340 -1.251441 0.305053
501 265000000 6.349432 -0.322756 0.525908
501 265000000 2.507729 0.000680 0.270908
501 265000000 6.277336 1.072839 0.498256
501 265000000 2.451777 1.571266 0.500525
501 291000000 3.176191 -1.251158 0.305509
501 291000000 6.272654 -0.319716 0.449080
501 291000000 2.504468 -0.000003 0.268395
501 291000000 6.263202 1.072806 0.486253
501 291000000 2.448076 1.570359 0.497202
501 315000000 3.161966 -1.248054 0.289185
501 315000000 6.369598 -0.323170 0.545848
501 315000000 2.507139 -0.000590 0.273031
501 315000000 6.276674 1.072905 0.499309
501 315000000 2.457883 1.572489 0.506820
501 340000000 3.173707 -1.248581 0.301070
501 340000000 6.352278 -0.322589 0.526938
501 340000000 2.510760 -0.001483 0.276856
501 340000000 6.274641 1.072842 0.496830
501 340000000 2.463250 1.575711 0.515890
